date,Temp_C,Humidity_pct,Wind_Speed_kmh
2020-09-22,32.2,50,4.9
2020-09-23,31.8,50,5.8
2020-09-24,30.8,50,4.4
2020-09-25,31.1,50,4.9
2020-09-26,29.5,50,6.0
2020-09-27,29.9,50,5.1
2020-09-28,30.0,50,4.7
2020-09-29,29.4,50,6.6
2020-09-30,28.9,50,6.3
2020-10-01,29.1,50,6.6
2020-10-02,28.6,50,4.2
2020-10-03,28.3,50,3.3
2020-10-04,27.0,50,4.3
2020-10-05,27.2,50,5.3
2020-10-06,27.3,50,5.3
2020-10-07,27.4,50,3.4
2020-10-08,27.3,50,2.9
2020-10-09,27.2,50,1.0
2020-10-10,27.4,50,4.7
2020-10-11,27.2,50,6.0
2020-10-12,26.9,50,1.3
2020-10-13,27.6,50,1.0
2020-10-14,28.4,50,0.8
2020-10-15,27.2,50,1.2
2020-10-16,25.7,50,1.6
2020-10-17,25.1,50,1.7
2020-10-18,25.5,50,3.5
2020-10-19,24.8,50,3.1
2020-10-20,24.0,50,2.2
2020-10-21,24.5,50,1.6
2020-10-22,24.4,50,0.8
2020-10-23,25.2,50,1.4
2020-10-24,23.2,50,3.0
2020-10-25,23.1,50,0.5
2020-10-26,23.2,50,1.4
2020-10-27,22.4,50,3.6
2020-10-28,21.6,50,1.5
2020-10-29,21.3,50,0.8
2020-10-30,21.4,50,2.6
2020-10-31,21.6,50,5.2
2020-11-01,20.8,50,6.1
2020-11-02,19.9,50,5.0
2020-11-03,19.7,50,2.2
2020-11-04,19.2,50,2.6
2020-11-05,20.1,50,2.5
2020-11-06,20.3,50,2.3
2020-11-07,19.6,50,2.2
2020-11-08,18.8,50,0.7
2020-11-09,18.7,50,1.4
2020-11-10,19.2,50,1.0
2020-11-11,19.6,50,1.8
2020-11-12,19.6,50,0.4
2020-11-13,20.0,50,1.4
2020-11-14,19.2,50,1.0
2020-11-15,19.8,50,5.5
2020-11-16,20.3,50,5.9
2020-11-17,19.4,50,3.2
2020-11-18,17.9,50,1.5
2020-11-19,17.1,50,1.7
2020-11-20,16.4,50,4.2
2020-11-21,16.1,50,5.7
2020-11-22,15.1,50,4.2
2020-11-23,15.5,50,0.6
2020-11-24,15.7,50,1.3
2020-11-25,16.6,50,2.5
2020-11-26,18.2,50,4.1
2020-11-27,18.0,50,6.2
2020-11-28,16.8,50,5.3
2020-11-29,15.9,50,1.8
2020-11-30,16.0,50,2.5
2020-12-01,16.4,50,1.2
2020-12-02,16.8,50,3.2
2020-12-03,16.9,50,1.8
2020-12-04,17.3,50,1.7
2020-12-05,18.0,50,3.0
2020-12-06,18.3,50,1.8
2020-12-07,18.1,50,3.1
2020-12-08,18.0,50,0.9
2020-12-09,18.2,50,1.1
2020-12-10,18.5,50,1.7
2020-12-11,18.2,50,1.8
2020-12-12,17.6,50,2.6
2020-12-13,14.9,50,5.7
2020-12-14,12.5,50,3.3
2020-12-15,11.2,50,11.6
2020-12-16,11.6,50,6.7
2020-12-17,9.9,50,8.5
2020-12-18,10.9,50,13.4
2020-12-19,12.1,50,7.4
2020-12-20,12.6,50,5.1
2020-12-21,13.6,50,3.1
2020-12-22,13.4,50,2.0
2020-12-23,12.8,50,1.3
2020-12-24,13.0,50,2.3
2020-12-25,12.8,50,3.8
2020-12-26,12.6,50,4.0
2020-12-27,13.5,50,4.3
2020-12-28,13.1,50,4.0
2020-12-29,10.6,50,6.4
2020-12-30,9.8,50,5.6
2020-12-31,9.8,50,4.6
2021-01-01,10.2,50,1.9
2021-01-02,12.9,50,4.0
2021-01-03,13.3,50,7.2
2021-01-04,16.8,50,4.8
2021-01-05,17.7,50,4.7
2021-01-06,17.1,50,5.1
2021-01-07,15.5,50,5.5
2021-01-08,13.6,50,1.9
2021-01-09,14.9,50,5.6
2021-01-10,13.1,50,9.3
2021-01-11,11.8,50,10.0
2021-01-12,11.2,50,19.0
2021-01-13,10.3,50,4.5
2021-01-14,10.7,50,1.2
2021-01-15,12.0,50,1.7
2021-01-16,11.7,50,4.1
2021-01-17,11.3,50,5.4
2021-01-18,13.8,50,4.4
2021-01-19,13.3,50,7.0
2021-01-20,13.1,50,12.3
2021-01-21,14.5,50,8.5
2021-01-22,11.6,50,5.2
2021-01-23,13.5,50,6.9
2021-01-24,12.5,50,5.6
2021-01-25,11.6,50,4.4
2021-01-26,12.2,50,4.0
2021-01-27,12.6,50,5.1
2021-01-28,11.7,50,1.8
2021-01-29,11.9,50,5.2
2021-01-30,12.6,50,7.6
2021-01-31,13.1,50,3.1
2021-02-01,14.8,50,2.2
2021-02-02,15.9,50,1.9
2021-02-03,17.5,50,5.3
2021-02-04,15.9,50,5.7
2021-02-05,14.6,50,3.4
2021-02-06,14.2,50,5.6
2021-02-07,15.0,50,6.1
2021-02-08,15.9,50,4.0
2021-02-09,16.6,50,3.8
2021-02-10,18.1,50,2.8
2021-02-11,18.0,50,2.7
2021-02-12,17.9,50,3.1
2021-02-13,18.0,50,0.9
2021-02-14,18.5,50,1.1
2021-02-15,19.5,50,2.8
2021-02-16,19.8,50,1.9
2021-02-17,18.9,50,1.6
2021-02-18,18.5,50,0.9
2021-02-19,18.3,50,3.6
2021-02-20,18.2,50,3.8
2021-02-21,18.8,50,5.2
2021-02-22,19.7,50,6.0
2021-02-23,21.2,50,3.8
2021-02-24,21.7,50,4.1
2021-02-25,22.3,50,5.3
2021-02-26,23.7,50,7.3
2021-02-27,24.1,50,6.7
2021-02-28,23.4,50,4.1
2021-03-01,21.1,50,6.9
2021-03-02,21.9,50,10.7
2021-03-03,21.8,50,6.9
2021-03-04,22.9,50,2.0
2021-03-05,22.9,50,7.6
2021-03-06,23.3,50,7.3
2021-03-07,24.6,50,6.3
2021-03-08,25.0,50,7.8
2021-03-09,26.1,50,5.2
2021-03-10,26.2,50,2.7
2021-03-11,27.1,50,4.0
2021-03-12,25.0,50,8.3
2021-03-13,25.0,50,2.7
2021-03-14,24.6,50,4.8
2021-03-15,24.3,50,5.6
2021-03-16,24.6,50,6.1
2021-03-17,25.3,50,3.9
2021-03-18,25.4,50,3.7
2021-03-19,25.7,50,4.4
2021-03-20,25.5,50,6.2
2021-03-21,26.4,50,3.4
2021-03-22,26.3,50,5.5
2021-03-23,24.4,50,7.1
